,link,datetime
119,https://www.thenews.com.pk/print/751963-court-seeks-police-comments-in-alleged-rape-case-against-babar-azam,"December 1, 2020"
120,https://www.thenews.com.pk/print/211914-Sindh-govt-slammed-for-backtracking-on-promise-to-protect-minorities,"June 21, 2017"
121,https://www.thenews.com.pk/print/213956-Man-shot-by-muggers,"July 3, 2017"
122,https://www.thenews.com.pk/print/725887-teenage-girl-who-stole-bikes-under-guise-of-boy-arrested,"October 7, 2020"
123,https://www.thenews.com.pk/latest/620131-boy-found-dead-inside-lions-cage-at-safari-park-lahore,"February 26, 2020"
124,https://www.thenews.com.pk/archive/print/433017-boy-rescued-from-%E2%80%98facebook-kidnappers%E2%80%99,"May 28, 2013"
125,https://www.thenews.com.pk/print/230885-10000-rape-cases-reportedin-three-and-a-half-years,"September 19, 2017"
126,https://www.thenews.com.pk/print/710322-open-door-policy-makes-police-social-media-accounts-popular,"September 5, 2020"
127,https://www.thenews.com.pk/print/708912-girl-commits-suicide,"September 2, 2020"
128,https://www.thenews.com.pk/print/698373-child-abuse-cases-soar-in-n-ireland,"August 10, 2020"
129,https://www.thenews.com.pk/latest/388785-shireen-mazari-takes-notice-of-doctor-sisters-getting-forced-to-marry-for-inheritance-land,"November 2, 2018"
130,https://www.thenews.com.pk/print/289698-cases-rife-of-violence-against-women,"March 8, 2018"
131,https://www.thenews.com.pk/print/712805-two-robbers-gang-rape-mother-of-two-on-motorway,"September 10, 2020"
132,https://www.thenews.com.pk/archive/print/459467-man-behind-bars-for-raping-woman-blackmail,"October 8, 2013"
133,https://www.thenews.com.pk/latest/714791-mahira-khan-other-actors-protest-motorway-gang-rape,"September 14, 2020"
134,https://www.thenews.com.pk/print/655996-4-suspects-in-honour-killing-case-arrested,"May 9, 2020"
135,https://www.thenews.com.pk/print/669590-eu-plans-to-step-up-fight-against-child-sex-abuse,"June 8, 2020"
136,https://www.thenews.com.pk/print/124940-Speakers-call-for-action-against-gender-based-violence,"June 3, 2016"
137,https://www.thenews.com.pk/print/671793-business-mafia-cannot-blackmail-govt-icci,"June 13, 2020"
138,https://www.thenews.com.pk/latest/378319-law-minister-seeks-proposals-to-protect-women-from-honor-crimes-violence,"October 8, 2018"
139,https://www.thenews.com.pk/print/167566-Changing-religion-before-attaining-age-of-18-years-banned,"November 25, 2016"
140,https://www.thenews.com.pk/latest/713336-child-sexual-abuse-cases-shot-up-in-first-half-of-2020-in-pakistan-report,"September 11, 2020"
141,https://www.thenews.com.pk/latest/335700-bilawal-dodges-harrassment/,"June 30, 2018"
142,https://www.thenews.com.pk/print/753045-mentally-challenged-girl-raped-in-gujranwala,"December 3, 2020"
143,https://www.thenews.com.pk/print/722300-balochistan-high-court-grants-clifton-gang-rape-suspects-bail,"September 30, 2020"
144,https://www.thenews.com.pk/print/721994-police-response-to-motorway-rape-senate-panel-slams-lahore-ccpo-for-conflicting-remarks,"September 29, 2020"
145,https://www.thenews.com.pk/print/647857-2-846-child-abuse-cases-reported-in-2019,"April 22, 2020"
146,https://www.thenews.com.pk/latest/197711-Sharmeen-Obaid-Chinoy-speaks-about-her-Award-winning-movie-Girl-in-the-River,"April 10, 2017"
147,https://www.thenews.com.pk/print/752908-clerk-arrested-for-allegedly-demanding-bribe,"December 3, 2020"
148,https://www.thenews.com.pk/latest/747442-woman-arrested-for-allegedly-setting-house-on-fire-while-filming-tiktok-video,"November 22, 2020"
149,https://www.thenews.com.pk/print/70533-%E2%80%98moods%E2%80%99-of-a-different-kind,"October 31, 2015"
150,https://www.thenews.com.pk/latest/358739-new-zealands-pedal-powered-politician-has-baby-boy,"August 23, 2018"
